Inter,38,23,7,8,68,30,+38,76
Roma,38,19,12,7,70,42,+28,69
Milan,38,28,4,6,85,31,+54,58
Chievo,38,13,15,10,54,49,+5,54
Palermo,38,13,13,12,50,52,-2,52
Livorno,38,12,13,13,37,44,-7,49
Parma,38,12,9,17,46,60,-14,45
Empoli,38,13,6,19,46,62,-16,45
Fiorentina,38,22,8,8,66,41,+25,44
Ascoli,38,9,16,13,43,53,-10,43
Udinese,38,11,10,17,40,54,-14,43
Sampdoria,38,10,11,17,47,51,-4,41
Reggina,38,11,8,19,39,65,-26,41
Cagliari,38,8,15,15,42,55,-13,39
Siena,38,9,12,17,42,60,-18,39
Lazio,38,16,14,8,57,47,+10,32
Messina,38,6,13,19,34,58,-24,31
Lecce,38,7,8,23,30,57,-27,29
Treviso FBC 1993,38,3,12,23,24,56,-32,21
Juventus,38,27,10,1,71,24,+47,0
