Milan,34,20,10,4,59,34,+25,70
Lazio,34,20,9,5,65,31,+34,69
Fiorentina,34,16,8,10,55,41,+14,56
Parma,34,15,10,9,55,36,+19,55
Roma,34,15,9,10,69,49,+20,54
Juventus,34,15,9,10,42,36,+6,54
Udinese,34,16,6,12,52,52,0,54
Inter,34,13,7,14,59,54,+5,46
Bologna,34,11,11,12,44,47,-3,44
Bari 1908,34,9,15,10,39,44,-5,42
Venezia,34,11,9,14,38,45,-7,42
Cagliari,34,11,8,15,49,50,-1,41
Piacenza,34,11,8,15,48,49,-1,41
Perugia,34,11,6,17,43,61,-18,39
Salernitana,34,10,8,16,37,51,-14,38
Sampdoria,34,9,10,15,38,55,-17,37
Vicenza,34,8,9,17,27,47,-20,33
Empoli,34,4,10,20,26,63,-37,20
