Juventus,38,29,4,5,75,20,+55,91
Napoli,38,25,7,6,80,32,+48,82
Roma,38,23,11,4,83,41,+42,80
Inter,38,20,7,11,50,38,+12,67
Fiorentina,38,18,10,10,60,42,+18,64
Sassuolo,38,16,13,9,49,40,+9,61
Milan,38,15,12,11,49,43,+6,57
Lazio,38,15,9,14,52,52,0,54
Chievo,38,13,11,14,43,45,-2,50
Genoa,38,13,7,18,45,48,-3,46
Empoli,38,12,10,16,40,49,-9,46
Torino,38,12,9,17,52,55,-3,45
Atalanta,38,11,12,15,41,47,-6,45
Bologna,38,11,9,18,33,45,-12,42
Sampdoria,38,10,10,18,48,61,-13,40
Palermo,38,10,9,19,38,65,-27,39
Udinese,38,10,9,19,35,60,-25,39
Carpi,38,9,11,18,37,57,-20,38
Frosinone,38,8,7,23,35,76,-41,31
Hellas Verona,38,5,13,20,34,63,-29,28
