Paris SG,27,22,2,3,75,24,+51,68
Marsilya,28,16,8,4,41,29,+12,56
Rennes,28,15,5,8,38,24,+14,50
Lille,28,15,4,9,35,27,+8,49
Nice,28,11,8,9,41,38,+3,41
Reims,28,10,11,7,26,21,+5,41
Lyon,28,11,7,10,42,27,+15,40
Montpellier,28,11,7,10,35,34,+1,40
Monaco,28,11,7,10,44,44,0,40
RC Strasbourg,27,11,5,11,32,32,0,38
Angers,28,11,6,11,28,33,-5,39
Bordeaux,28,9,10,9,40,34,+6,37
Nantes,28,11,4,13,28,31,-3,37
Brest,28,8,10,10,34,37,-3,34
Metz,28,8,10,10,27,35,-8,34
Dijon,28,7,9,12,27,37,-10,30
Saint-Etienne,28,8,6,14,29,45,-16,30
Nimes,28,7,6,15,29,44,-15,27
Amiens SC,28,4,11,13,31,50,-19,23
Toulouse,28,3,4,21,22,58,-36,13
