Ajax,34,20,11,3,69,28,+41,71
Feyenoord,34,20,7,7,76,40,+36,67
Twente,34,17,12,5,72,37,+35,63
PSV Eindhoven,34,18,5,11,60,45,+15,59
Heerenveen,34,16,9,9,72,51,+21,57
Vitesse,34,15,10,9,65,49,+16,55
Groningen,34,14,9,11,57,53,+4,51
AZ Alkmaar,34,13,8,13,54,50,+4,47
Den Haag,34,12,7,15,45,64,-19,43
Utrecht,34,11,8,15,46,65,-19,41
PEC Zwolle,34,9,13,12,47,49,-2,40
Cambuur,34,10,9,15,40,50,-10,39
Go Ahead,34,10,8,16,45,69,-24,38
Heracles,34,10,7,17,45,59,-14,37
NAC Breda,34,8,11,15,43,54,-11,35
RKC Waalwijk,34,7,11,16,44,64,-20,32
NEC Nijmegen,34,5,15,14,54,82,-28,30
Roda,34,7,8,19,44,69,-25,29
