AZ Alkmaar,34,25,5,4,66,22,+44,80
Twente,34,20,9,5,62,31,+31,69
Ajax,34,21,5,8,74,41,+33,68
PSV Eindhoven,34,19,8,7,71,33,+38,65
Heerenveen,34,17,9,8,66,57,+9,60
Groningen,34,17,5,12,53,36,+17,56
Feyenoord,34,12,9,13,54,46,+8,45
NAC Breda,34,13,6,15,44,54,-10,45
Utrecht,34,11,11,12,41,44,-3,44
Vitesse,34,11,10,13,41,48,-7,43
NEC Nijmegen,34,9,15,10,41,40,+1,42
Willem II,34,10,7,17,35,58,-23,37
Sp. Rotterdam,34,9,8,17,46,66,-20,35
Den Haag,34,8,8,18,41,58,-17,32
Heracles,34,7,11,16,35,53,-18,32
Roda,34,7,9,18,38,58,-20,30
De Graafschap,34,7,9,18,24,58,-34,30
Volendam,34,7,8,19,38,67,-29,29
