PSV Eindhoven,34,29,1,4,92,31,+61,88
Ajax,34,21,8,5,69,29,+40,71
AZ Alkmaar,34,19,5,10,63,56,+7,62
Feyenoord,34,17,8,9,56,39,+17,59
Vitesse,34,16,10,8,66,43,+23,58
PEC Zwolle,34,16,5,13,59,43,+16,53
Heerenveen,34,13,11,10,53,46,+7,50
Groningen,34,11,13,10,49,53,-4,46
Willem II,34,13,7,14,46,50,-4,46
Twente,34,13,10,11,56,51,+5,43
Utrecht,34,11,8,15,60,62,-2,41
Cambuur,34,11,8,15,46,56,-10,41
Den Haag,34,9,10,15,44,53,-9,37
Heracles,34,11,4,19,47,64,-17,37
Excelsior,34,6,14,14,47,63,-16,32
NAC Breda,34,6,10,18,36,68,-32,28
Go Ahead,34,7,6,21,29,59,-30,27
Dordrecht,34,4,8,22,24,76,-52,20
