Real Madrid,38,26,9,3,70,25,+45,87
Barcelona,38,25,7,6,86,38,+48,82
Atl. Madrid,38,18,16,4,51,27,+24,70
Sevilla,38,19,13,6,54,34,+20,70
Villarreal,38,18,6,14,63,49,+14,60
Real Sociedad,38,16,8,14,56,48,+8,56
Granada,38,16,8,14,52,45,+7,56
Getafe,38,14,12,12,43,37,+6,54
Valencia,38,14,11,13,46,53,-7,53
Osasuna,38,13,13,12,46,54,-8,52
Ath. Bilbao,38,13,12,13,41,38,+3,51
Levante,38,14,7,17,47,53,-6,49
Valladolid,38,9,15,14,32,43,-11,42
Eibar,38,11,9,18,39,56,-17,42
Real Betis,38,10,11,17,48,60,-12,41
Alaves,38,10,9,19,34,59,-25,39
Celta Vigo,38,7,16,15,37,49,-12,37
Leganes,38,8,12,18,30,51,-21,36
Mallorca,38,9,6,23,40,65,-25,33
Espanyol,38,5,10,23,27,58,-31,25
