Barcelona,38,29,4,5,112,29,+83,91
Real Madrid,38,28,6,4,110,34,+76,90
Atl. Madrid,38,28,4,6,63,18,+45,88
Villarreal,38,18,10,10,44,35,+9,64
Ath. Bilbao,38,18,8,12,58,45,+13,62
Celta Vigo,38,17,9,12,51,59,-8,60
Sevilla,38,14,10,14,51,50,+1,52
Malaga,38,12,12,14,38,35,+3,48
Real Sociedad,38,13,9,16,45,48,-3,48
Real Betis,38,11,12,15,34,52,-18,45
Las Palmas,38,12,8,18,45,53,-8,44
Valencia,38,11,11,16,46,48,-2,44
Eibar,38,11,10,17,49,61,-12,43
Espanyol,38,12,7,19,40,74,-34,43
Deportivo,38,8,18,12,45,61,-16,42
Granada,38,10,9,19,46,69,-23,39
Sporting Gijon,38,10,9,19,40,62,-22,39
Vallecano,38,9,11,18,52,73,-21,38
Getafe,38,9,9,20,37,67,-30,36
Levante,38,8,8,22,37,70,-33,32
