B. Dortmund,34,25,6,3,80,25,+55,81
Bayern München,34,23,4,7,77,22,+55,73
Schalke 04,34,20,4,10,74,44,+30,64
M'gladbach,34,17,9,8,49,24,+25,60
B. Leverkusen,34,15,9,10,52,44,+8,54
Stuttgart,34,15,8,11,63,46,+17,53
Hannover 96,34,12,12,10,41,45,-4,48
Wolfsburg,34,13,5,16,47,60,-13,44
Werder Bremen,34,11,9,14,49,58,-9,42
Nürnberg,34,12,6,16,38,49,-11,42
Hoffenheim,34,10,11,13,41,47,-6,41
Freiburg,34,10,10,14,45,61,-16,40
Mainz 05,34,9,12,13,47,51,-4,39
Augsburg,34,8,14,12,36,49,-13,38
Hamburg,34,8,12,14,35,57,-22,36
Hertha Berlin,34,7,10,17,38,64,-26,31
Köln,34,8,6,20,39,75,-36,30
Kaiserslautern,34,4,11,19,24,54,-30,23
